epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,825.145,0.62705,0.41602,1.04333,0.9798,0.94658,0.98136,0.83605,0.56665,0.32022,0.97555,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,842.329,0.61092,0.41011,1.02014,0.98871,0.9206,0.97601,0.83357,0.5892,0.33661,0.98049,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,859.741,0.60188,0.39696,1.00795,0.98896,0.93685,0.98369,0.84791,0.55423,0.3269,0.96345,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,877.247,0.61406,0.41794,1.01361,0.98912,0.92548,0.98418,0.84544,0.56488,0.30997,0.96583,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,894.593,0.62108,0.41586,1.01878,0.99254,0.92137,0.98421,0.8409,0.55964,0.32173,0.96619,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,911.907,0.59395,0.38552,1.00555,0.9803,0.95739,0.98595,0.85272,0.56732,0.31705,0.96197,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,929.353,0.58864,0.40876,1.0004,0.98939,0.93819,0.98346,0.85699,0.56754,0.31305,0.97367,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,946.695,0.5833,0.38891,1.00442,0.9679,0.95473,0.9851,0.83654,0.58287,0.33346,0.97841,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,963.877,0.59284,0.40166,1.01397,0.97243,0.94821,0.98374,0.83926,0.58306,0.31771,0.99335,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,981.13,0.60255,0.40776,1.00879,0.98084,0.92542,0.9863,0.85709,0.55663,0.31748,0.95183,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,998.43,0.6008,0.39651,0.99368,0.96496,0.94127,0.98658,0.84838,0.56151,0.29828,0.94821,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,1015.58,0.60149,0.39022,0.997,0.99449,0.92247,0.98415,0.8525,0.56461,0.31666,0.95018,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,1032.73,0.59291,0.39421,1.00071,0.9837,0.95168,0.98536,0.85082,0.5738,0.31509,0.95087,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,1049.88,0.59374,0.39024,0.99411,0.98428,0.95327,0.98536,0.84689,0.56629,0.30697,0.94705,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,1067.07,0.5881,0.3865,0.97774,0.98512,0.95485,0.98498,0.8578,0.54489,0.29481,0.94768,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,1084.4,0.57794,0.39157,0.98082,0.98614,0.93225,0.97998,0.84385,0.57596,0.3274,0.95817,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,1101.78,0.58434,0.40286,0.99149,0.99537,0.91239,0.98097,0.83066,0.58439,0.325,0.98301,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,1119.01,0.57118,0.38738,0.99171,0.99046,0.95957,0.97373,0.84034,0.57606,0.30895,0.9835,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,1136.17,0.56079,0.38184,0.99698,0.98345,0.93685,0.98398,0.84622,0.55341,0.31439,0.97559,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
